FID,Field1,x,y,WPreyD,Rgd,Alt,LargeLS,Small_LS,LS_Biomass,Village_LC
24,999,8699000,3736110,0.2500000,55.3263016,5289.0000000,1.7682300,1.1588399,387.1319885,69061904.0000000
25,1000,8699500,3736110,0.2500000,43.7835999,5142.0000000,1.7682300,1.1588399,387.1319885,67576096.0000000
26,1001,8700000,3736110,0.2500000,58.3951988,5225.0000000,1.7626500,1.1551900,385.9110107,65868800.0000000
27,1002,8700500,3736110,0.2500000,55.8121986,5138.0000000,1.6566700,1.0857300,362.7080078,63560100.0000000
28,1003,8701000,3736110,0.2500000,45.2879982,4895.0000000,1.5228000,0.9979930,333.3989868,61578800.0000000
29,1004,8701500,3736110,0.2500000,32.4037018,4794.0000000,1.4335500,0.9395020,313.8580017,59299500.0000000
30,1005,8702000,3736110,0.2500000,46.3140984,4863.0000000,1.4726000,0.9650920,322.4079895,56872500.0000000
31,1006,8702500,3736110,0.2500000,69.0652008,4913.0000000,1.5785800,1.0345500,345.6109924,55001700.0000000
32,1007,8703000,3736110,0.2500000,65.6125031,5096.0000000,1.7459199,1.1442200,382.2479858,53319200.0000000
33,1008,8703500,3736110,0.2500000,83.0962982,5261.0000000,1.7682300,1.1588399,387.1319885,52024300.0000000
34,1010,8704500,3736110,0.2500000,76.1708984,5499.0000000,1.7682300,1.1588399,387.1319885,48697200.0000000
35,1011,8705000,3736110,0.2500000,31.4006004,5191.0000000,1.7221700,1.1292800,377.0700073,47036400.0000000
36,1012,8705500,3736110,0.2500000,48.0415993,5125.0000000,1.9386300,1.2732400,424.5350037,45667800.0000000
37,1013,8706000,3736110,0.2500000,48.3632011,5069.0000000,2.2323599,1.4681900,488.9289856,44171700.0000000
38,1014,8706500,3736110,0.2500000,50.5964012,4911.0000000,2.5301600,1.6656600,554.2089844,42611300.0000000
39,1015,8707000,3736110,0.2500000,40.7062988,4760.0000000,2.7592101,1.8172500,604.4089966,41244800.0000000
40,1016,8707500,3736110,0.2500000,34.2929001,4560.0000000,2.7407601,1.8050900,600.3670044,40010200.0000000
41,1017,8708000,3736110,0.2500000,52.0191994,4436.0000000,2.6207900,1.7260799,574.0880127,38729900.0000000
42,1018,8708500,3736110,0.2500000,50.8821983,4649.0000000,2.5377400,1.6713800,555.8950195,37515200.0000000
43,1019,8709000,3736110,0.2500000,97.9745026,4589.0000000,2.2516699,1.4829700,493.2309875,36448300.0000000
44,1200,8694000,3736610,0.2500000,29.2233009,4281.0000000,0.0000000,0.0000000,0.0000000,87842800.0000000
45,1201,8694500,3736610,0.2500000,36.0694008,4476.0000000,0.0000000,0.0000000,0.0000000,85682896.0000000
46,1202,8695000,3736610,0.2500000,35.6090012,4675.0000000,0.0000000,0.0000000,0.0000000,83385400.0000000
47,1203,8695500,3736610,0.2500000,45.3100014,4869.0000000,0.0000000,0.0000000,0.0000000,80993400.0000000
48,1204,8696000,3736610,0.2500000,58.6856003,5128.0000000,0.0000000,0.0000000,0.0000000,78499000.0000000
49,1205,8696500,3736610,0.2500000,127.5699997,5482.0000000,0.0557802,0.0365565,12.2124004,75826800.0000000
50,1209,8698500,3736610,0.2500000,127.4680023,5431.0000000,1.5451100,1.0126200,338.2829895,68578496.0000000
51,1210,8699000,3736610,0.2500000,118.9919968,5297.0000000,1.7515000,1.1478699,383.4689941,67013700.0000000
52,1211,8699500,3736610,0.2500000,59.5483017,5413.0000000,1.7682300,1.1588399,387.1319885,65253800.0000000
53,1213,8700500,3736610,0.2500000,52.5833015,5425.0000000,1.6232001,1.0637900,355.3800049,62196500.0000000
54,1214,8701000,3736610,0.2500000,43.4165993,5181.0000000,1.6120501,1.0564801,352.9389954,59880800.0000000
55,1215,8701500,3736610,0.2500000,42.3083992,5029.0000000,1.6064700,1.0528300,351.7170105,58040800.0000000
56,1216,8702000,3736610,0.2500000,33.1661987,5203.0000000,1.6789800,1.1003500,367.5920105,55869900.0000000
57,1217,8702500,3736610,0.2500000,49.0407982,5154.0000000,1.7682300,1.1588399,387.1319885,53364100.0000000
58,1218,8703000,3736610,0.2500000,91.0768967,5307.0000000,1.7682300,1.1588399,387.1319885,51373500.0000000
59,1220,8704000,3736610,0.2500000,43.2204018,5489.0000000,1.7682300,1.1588399,387.1319885,48132100.0000000
60,1221,8704500,3736610,0.2500000,19.6977005,5252.0000000,1.7682300,1.1588399,387.1319885,46359500.0000000
61,1222,8705000,3736610,0.2500000,20.4206009,5205.0000000,1.7180300,1.1259400,376.1419983,44906200.0000000
62,1223,8705500,3736610,0.2500000,41.2188988,5104.0000000,1.8097700,1.1874100,396.2739868,43393700.0000000
63,1224,8706000,3736610,0.2500000,70.0286026,5070.0000000,1.9876000,1.3058701,435.2749939,42042100.0000000
64,1225,8706500,3736610,0.2500000,33.6006012,4861.0000000,2.1062000,1.3853900,461.3039856,40665700.0000000
65,1226,8707000,3736610,0.2500000,45.4091988,4596.0000000,2.0998800,1.3823900,459.9599915,39249100.0000000
66,1227,8707500,3736610,0.2500000,24.3925991,4460.0000000,1.9379100,1.2763300,424.5020142,38055500.0000000
67,1228,8708000,3736610,0.2500000,38.9743004,4335.0000000,1.8179400,1.1973200,398.2219849,36852200.0000000
68,1229,8708500,3736610,0.2500000,90.6035004,4355.0000000,1.7127800,1.1280400,375.1860046,35604100.0000000
69,1230,8709000,3736610,0.2500000,168.6529999,4342.0000000,1.4359400,0.9457070,314.5440063,34290200.0000000
70,1231,8709500,3736610,0.2500000,36.9864998,4228.0000000,1.1777600,0.7755750,257.9859924,33320500.0000000
71,1232,8710000,3736610,0.2495290,41.2673988,4439.0000000,1.2608100,0.8302740,276.1780090,32564200.0000000
72,1233,8710500,3736610,0.2488960,30.1329994,4587.0000000,1.4765000,0.9724400,323.4289856,32157100.0000000
73,1408,8692500,3737110,0.2500000,33.8231010,4091.0000000,0.0000000,0.0000000,0.0000000,86578496.0000000
74,1409,8693000,3737110,0.2500000,30.0000000,4242.0000000,0.0000000,0.0000000,0.0000000,86923000.0000000
75,1410,8693500,3737110,0.2500000,45.4091988,4348.0000000,0.0000000,0.0000000,0.0000000,86964000.0000000
76,1411,8694000,3737110,0.2500000,56.7626991,4406.0000000,0.0000000,0.0000000,0.0000000,85924096.0000000
77,1412,8694500,3737110,0.2500000,66.5581970,4587.0000000,0.0000000,0.0000000,0.0000000,84716496.0000000
78,1413,8695000,3737110,0.2500000,44.5646019,4766.0000000,0.0000000,0.0000000,0.0000000,82414496.0000000
79,1414,8695500,3737110,0.2500000,48.7955017,4987.0000000,0.0000000,0.0000000,0.0000000,79964800.0000000
80,1415,8696000,3737110,0.2500000,57.0614014,5253.0000000,0.0000000,0.0000000,0.0000000,77393904.0000000
81,1417,8697000,3737110,0.2500000,39.9625015,5343.0000000,0.1338720,0.0877356,29.3097000,71928096.0000000
82,1418,8697500,3737110,0.2500000,9.7979603,5276.0000000,0.4295070,0.2814850,94.0353012,69684496.0000000
83,1419,8698000,3737110,0.2500000,30.7409000,5265.0000000,0.8032350,0.5264140,175.8589935,67974600.0000000
84,1420,8698500,3737110,0.2500000,24.0207996,5099.0000000,1.1881200,0.7786540,260.1239929,66313100.0000000
85,1421,8699000,3737110,0.2500000,15.9687004,5059.0000000,1.5172200,0.9943370,332.1770020,64894400.0000000
86,1422,8699500,3737110,0.2500000,32.3573990,5289.0000000,1.7291900,1.1332500,378.5849915,63310000.0000000
87,1423,8700000,3737110,0.2500000,55.4976997,5446.0000000,1.6678300,1.0930400,365.1510010,61383000.0000000
88,1424,8700500,3737110,0.2500000,63.5059013,5346.0000000,1.6232001,1.0637900,355.3800049,60004600.0000000
89,1425,8701000,3737110,0.2500000,63.0158997,5400.0000000,1.6232001,1.0637900,355.3800049,58352500.0000000
90,1426,8701500,3737110,0.2500000,52.0672989,5331.0000000,1.6399400,1.0747600,359.0450134,56165600.0000000
91,1427,8702000,3737110,0.2500000,56.7010002,5426.0000000,1.7682300,1.1588399,387.1319885,54343700.0000000
92,1430,8703500,3737110,0.2500000,47.2863998,5459.0000000,1.7682300,1.1588399,387.1319885,47479600.0000000
93,1431,8704000,3737110,0.2500000,24.2486992,5267.0000000,1.7682300,1.1588399,387.1319885,45736100.0000000
94,1432,8704500,3737110,0.2500000,57.0876999,5388.0000000,1.7682300,1.1588399,387.1319885,44275500.0000000
95,1433,8705000,3737110,0.2500000,44.9667015,5268.0000000,1.7682300,1.1588399,387.1319885,42646700.0000000
96,1434,8705500,3737110,0.2500000,74.1080017,5168.0000000,1.7378000,1.1391900,380.4800110,41231700.0000000
97,1435,8706000,3737110,0.2500000,50.7542992,4865.0000000,1.7797500,1.1678500,389.7059937,39857300.0000000
98,1436,8706500,3737110,0.2500000,20.3470001,4721.0000000,1.7324500,1.1380200,379.3909912,38565900.0000000
99,1437,8707000,3737110,0.2500000,41.2067986,4604.0000000,1.5448000,1.0157900,338.3330078,37332400.0000000
100,1438,8707500,3737110,0.2500000,50.5271988,4564.0000000,1.2380100,0.8147330,271.1659851,36114200.0000000
101,1439,8708000,3737110,0.2500000,39.9249001,4475.0000000,1.0901500,0.7174440,238.7799988,34898000.0000000
102,1440,8708500,3737110,0.2500000,108.8899994,4482.0000000,1.1169400,0.7346690,244.6340027,33750200.0000000
103,1441,8709000,3737110,0.2499000,81.1295013,4381.0000000,1.0623900,0.6983830,232.6719971,32548400.0000000
104,1442,8709500,3737110,0.2494870,57.2364006,4249.0000000,0.8207390,0.5391730,179.7359924,31297200.0000000
105,1443,8710000,3737110,0.2488360,98.4784012,4310.0000000,0.7999440,0.5256930,175.1880035,30357300.0000000
106,1444,8710500,3737110,0.2481320,37.4967003,4389.0000000,1.0684600,0.7029570,234.0220032,29903500.0000000
107,1445,8711000,3737110,0.2474710,61.0410004,4211.0000000,1.5322800,1.0089999,335.6419983,30109400.0000000
108,1446,8711500,3737110,0.2466270,36.4142990,4248.0000000,2.0763299,1.3674901,454.8229980,30619500.0000000
109,1616,8691000,3737610,0.2500000,11.9164000,3728.0000000,0.0000000,0.0000000,0.0000000,84935800.0000000
110,1617,8691500,3737610,0.2500000,37.5233002,3710.0000000,0.0000000,0.0000000,0.0000000,84472600.0000000
111,1618,8692000,3737610,0.2500000,52.2685013,3824.0000000,0.0000000,0.0000000,0.0000000,84389104.0000000
112,1619,8692500,3737610,0.2500000,30.7896004,4120.0000000,0.0000000,0.0000000,0.0000000,84522400.0000000
113,1620,8693000,3737610,0.2500000,40.7921982,4304.0000000,0.0000000,0.0000000,0.0000000,84767296.0000000
114,1621,8693500,3737610,0.2500000,70.6470032,4408.0000000,0.0000000,0.0000000,0.0000000,84995104.0000000
115,1622,8694000,3737610,0.2500000,49.0611992,4592.0000000,0.0000000,0.0000000,0.0000000,83869104.0000000
116,1623,8694500,3737610,0.2500000,44.4635010,4826.0000000,0.0000000,0.0000000,0.0000000,82627104.0000000
117,1624,8695000,3737610,0.2500000,44.6766014,4979.0000000,0.0000000,0.0000000,0.0000000,81317800.0000000
118,1625,8695500,3737610,0.2500000,51.6623993,5177.0000000,0.0000000,0.0000000,0.0000000,79100600.0000000
119,1626,8696000,3737610,0.2500000,119.6449966,5470.0000000,0.0000000,0.0000000,0.0000000,76428496.0000000
120,1629,8697500,3737610,0.2500000,58.2408981,5339.0000000,0.1115600,0.0731130,24.4246998,68170200.0000000
121,1630,8698000,3737610,0.2500000,29.0345001,5156.0000000,0.4016170,0.2632070,87.9291992,65960700.0000000
122,1631,8698500,3737610,0.2500000,45.0332985,5084.0000000,0.7697670,0.5044800,168.5310059,64297000.0000000
123,1632,8699000,3737610,0.2500000,21.3306999,5004.0000000,1.1379200,0.7457530,249.1340027,62723500.0000000
124,1633,8699500,3737610,0.2500000,43.5085983,5102.0000000,1.4614400,0.9577800,319.9649963,61259400.0000000
125,1634,8700000,3737610,0.2500000,60.0000000,5108.0000000,1.6510900,1.0820700,361.4859924,59581800.0000000
126,1635,8700500,3737610,0.2500000,57.3585014,5225.0000000,1.6678300,1.0930400,365.1510010,57765600.0000000
127,1641,8703500,3737610,0.2500000,21.1896000,5426.0000000,1.7682300,1.1588399,387.1319885,45620400.0000000
128,1642,8704000,3737610,0.2500000,35.6371002,5365.0000000,1.7682300,1.1588399,387.1319885,43667200.0000000
129,1643,8704500,3737610,0.2500000,18.8680000,5181.0000000,1.7682300,1.1588399,387.1319885,42017800.0000000
130,1644,8705000,3737610,0.2500000,41.9642982,5205.0000000,1.7682300,1.1588399,387.1319885,40503600.0000000
131,1645,8705500,3737610,0.2500000,48.1248016,5026.0000000,1.7682300,1.1588399,387.1319885,38954400.0000000
132,1646,8706000,3737610,0.2500000,39.2938004,4835.0000000,1.6841500,1.1039200,368.7309875,37691100.0000000
133,1647,8706500,3737610,0.2500000,14.3874998,4732.0000000,1.4748100,0.9671990,322.9150085,36467400.0000000
134,1648,8707000,3737610,0.2500000,62.8648987,4690.0000000,1.1004601,0.7221350,240.9649963,35238800.0000000
135,1649,8707500,3737610,0.2500000,67.1416016,4829.0000000,0.8608140,0.5649870,188.4940033,34094600.0000000
136,1650,8708000,3737610,0.2500000,79.7433014,4922.0000000,0.7462200,0.4895870,163.3950043,32780000.0000000
137,1651,8708500,3737610,0.2498210,32.3264999,4959.0000000,0.8287850,0.5433680,181.4600067,31541300.0000000
138,1652,8709000,3737610,0.2495430,61.0900993,4816.0000000,0.9628640,0.6311490,210.8119965,30431100.0000000
139,1653,8709500,3737610,0.2489720,39.2428017,4562.0000000,0.9759470,0.6396940,213.6750031,29325600.0000000
140,1654,8710000,3737610,0.2482690,49.2239990,4246.0000000,0.8515090,0.5580810,186.4290009,28268300.0000000
141,1655,8710500,3737610,0.2475120,22.9783001,4117.0000000,0.9329170,0.6124210,204.2859955,27761700.0000000
142,1656,8711000,3737610,0.2466840,109.7360001,4272.0000000,1.1079201,0.7286360,242.6549988,27995400.0000000
143,1657,8711500,3737610,0.2458920,40.0749016,4572.0000000,1.3865600,0.9129860,303.7200012,28399100.0000000
144,1658,8712000,3737610,0.2450280,54.0833015,4561.0000000,1.8733100,1.2337800,410.3510132,28983600.0000000
145,1659,8712500,3737610,0.2441670,93.2470016,4633.0000000,2.3439500,1.5437500,513.4450073,29890900.0000000
146,1825,8690000,3738110,0.2500000,67.1416016,3900.0000000,0.0000000,0.0000000,0.0000000,84742496.0000000
147,1826,8690500,3738110,0.2500000,39.6610985,3705.0000000,0.0000000,0.0000000,0.0000000,83836200.0000000
148,1827,8691000,3738110,0.2500000,3.6055501,3670.0000000,0.0000000,0.0000000,0.0000000,83081600.0000000
149,1828,8691500,3738110,0.2500000,24.5356998,3707.0000000,0.0000000,0.0000000,0.0000000,82617400.0000000
150,1829,8692000,3738110,0.2500000,41.1581993,3852.0000000,0.0000000,0.0000000,0.0000000,82462000.0000000
151,1830,8692500,3738110,0.2500000,55.6955986,4006.0000000,0.0000000,0.0000000,0.0000000,82482304.0000000
152,1831,8693000,3738110,0.2500000,55.7853012,4110.0000000,0.0000000,0.0000000,0.0000000,82663400.0000000
153,1832,8693500,3738110,0.2500000,64.3739014,4364.0000000,0.0000000,0.0000000,0.0000000,82845296.0000000
154,1833,8694000,3738110,0.2500000,68.7095032,4669.0000000,0.0000000,0.0000000,0.0000000,81917104.0000000
155,1834,8694500,3738110,0.2500000,52.2111015,4763.0000000,0.0000000,0.0000000,0.0000000,80546096.0000000
156,1835,8695000,3738110,0.2500000,36.0000000,4984.0000000,0.0000000,0.0000000,0.0000000,79172496.0000000
157,1836,8695500,3738110,0.2500000,43.3244019,5232.0000000,0.0000000,0.0000000,0.0000000,77705696.0000000
158,1838,8696500,3738110,0.2500000,36.4006004,5470.0000000,0.0000000,0.0000000,0.0000000,72495296.0000000
159,1839,8697000,3738110,0.2500000,18.3302994,5374.0000000,0.0000000,0.0000000,0.0000000,69770800.0000000
160,1840,8697500,3738110,0.2500000,29.0688992,5277.0000000,0.0000000,0.0000000,0.0000000,67093500.0000000
161,1841,8698000,3738110,0.2500000,25.1396008,5166.0000000,0.0892483,0.0584904,19.5398006,64467400.0000000
162,1842,8698500,3738110,0.2500000,28.7749996,5017.0000000,0.3681490,0.2412730,80.6017990,62337400.0000000
163,1843,8699000,3738110,0.2500000,56.1693993,4925.0000000,0.7362980,0.4825460,161.2039948,60729300.0000000
164,1844,8699500,3738110,0.2500000,71.0845032,4994.0000000,1.1323400,0.7420970,247.9120026,59192500.0000000
165,1845,8700000,3738110,0.2500000,18.1933994,5025.0000000,1.4781700,0.9687470,323.6270142,57656300.0000000
166,1846,8700500,3738110,0.2500000,14.4222002,5247.0000000,1.7180300,1.1259400,376.1419983,56068300.0000000
167,1847,8701000,3738110,0.2500000,60.0250015,5383.0000000,1.7347600,1.1369100,379.8049927,53977000.0000000
168,1848,8701500,3738110,0.2500000,126.9840012,5374.0000000,1.7682300,1.1588399,387.1319885,52226900.0000000
169,1849,8702000,3738110,0.2500000,107.8470001,5298.0000000,1.7682300,1.1588399,387.1319885,50504900.0000000
170,1853,8704000,3738110,0.2500000,42.8134995,5361.0000000,1.7682300,1.1588399,387.1319885,41745700.0000000
171,1854,8704500,3738110,0.2500000,24.1453991,5212.0000000,1.7682300,1.1588399,387.1319885,39914400.0000000
172,1855,8705000,3738110,0.2500000,46.3357010,5115.0000000,1.7682300,1.1588399,387.1319885,38366800.0000000
173,1856,8705500,3738110,0.2500000,20.1494007,4937.0000000,1.7403400,1.1405600,381.0260010,36923100.0000000
174,1857,8706000,3738110,0.2500000,28.0534992,4871.0000000,1.6957200,1.1113200,371.2569885,35467200.0000000
175,1858,8706500,3738110,0.2500000,78.3262024,4907.0000000,1.4949100,0.9797140,327.2919922,34265700.0000000
176,1859,8707000,3738110,0.2500000,56.9649010,5048.0000000,1.1546500,0.7567200,252.7969971,33031600.0000000
177,1860,8707500,3738110,0.2500000,53.7865982,5093.0000000,1.0319300,0.6762950,225.9290009,31827900.0000000
178,1861,8708000,3738110,0.2498390,59.9749985,4997.0000000,1.0319300,0.6762950,225.9290009,30553700.0000000
179,1862,8708500,3738110,0.2495880,60.5723000,4785.0000000,1.2550499,0.8225210,274.7780151,29270800.0000000
180,1863,8709000,3738110,0.2490760,54.7995987,4603.0000000,1.4502800,0.9504690,317.5209961,28141100.0000000
181,1864,8709500,3738110,0.2484480,67.0447998,4421.0000000,1.4781700,0.9687470,323.6270142,27133000.0000000
182,1865,8710000,3738110,0.2476990,120.9010010,4301.0000000,1.3554600,0.8883230,296.7609863,26193900.0000000
183,1866,8710500,3738110,0.2468040,56.5951004,4162.0000000,1.0709800,0.7018850,234.4779968,25687100.0000000
184,1867,8711000,3738110,0.2460190,74.5117035,4168.0000000,0.8871870,0.5821220,194.2630005,25832800.0000000
185,1868,8711500,3738110,0.2451720,60.4401016,4281.0000000,0.8991140,0.5912250,196.9190063,26165000.0000000
186,1869,8712000,3738110,0.2442560,74.8999023,4358.0000000,1.1204600,0.7378750,245.4360046,26749000.0000000
187,1870,8712500,3738110,0.2433330,30.9193001,4590.0000000,1.6241500,1.0696800,355.7720032,27602700.0000000
188,1871,8713000,3738110,0.2423600,25.0200005,4534.0000000,2.1317000,1.4039600,466.9519958,28493400.0000000
189,1872,8713500,3738110,0.2414790,32.6955986,4719.0000000,2.4731400,1.6288400,541.7449951,29471800.0000000
190,2033,8688500,3738610,0.2500000,79.1202011,4579.0000000,0.0000000,0.0000000,0.0000000,87240304.0000000
191,2034,8689000,3738610,0.2500000,129.9880066,4386.0000000,0.0000000,0.0000000,0.0000000,85725904.0000000
192,2035,8689500,3738610,0.2500000,86.7237015,4197.0000000,0.0000000,0.0000000,0.0000000,84321696.0000000
193,2036,8690000,3738610,0.2500000,58.6430016,4087.0000000,0.0000000,0.0000000,0.0000000,83013696.0000000
194,2037,8690500,3738610,0.2500000,53.9351006,3762.0000000,0.0000000,0.0000000,0.0000000,82008800.0000000
195,2038,8691000,3738610,0.2500000,20.0249996,3685.0000000,0.0000000,0.0000000,0.0000000,81230896.0000000
196,2039,8691500,3738610,0.2500000,11.1355000,3726.0000000,0.0000000,0.0000000,0.0000000,80749200.0000000
197,2040,8692000,3738610,0.2500000,26.8887005,3934.0000000,0.0000000,0.0000000,0.0000000,80496200.0000000
198,2041,8692500,3738610,0.2500000,46.2384987,4081.0000000,0.0000000,0.0000000,0.0000000,80417904.0000000
199,2042,8693000,3738610,0.2500000,36.5787010,4235.0000000,0.0000000,0.0000000,0.0000000,80538896.0000000
200,2043,8693500,3738610,0.2500000,40.9145012,4560.0000000,0.0000000,0.0000000,0.0000000,80577000.0000000
201,2044,8694000,3738610,0.2500000,57.3759995,4852.0000000,0.0000000,0.0000000,0.0000000,79732200.0000000
202,2045,8694500,3738610,0.2500000,44.2041016,4989.0000000,0.0000000,0.0000000,0.0000000,78465904.0000000
203,2046,8695000,3738610,0.2500000,39.4841995,5145.0000000,0.0000000,0.0000000,0.0000000,77019400.0000000
204,2047,8695500,3738610,0.2500000,39.2300987,5439.0000000,0.0000000,0.0000000,0.0000000,75469104.0000000
205,2051,8697500,3738610,0.2500000,110.7429962,5463.0000000,0.0000000,0.0000000,0.0000000,66088400.0000000
206,2052,8698000,3738610,0.2500000,51.2933006,5183.0000000,0.0000000,0.0000000,0.0000000,63421100.0000000
207,2053,8698500,3738610,0.2500000,18.7882996,4923.0000000,0.0780923,0.0511791,17.0974007,60894800.0000000
208,2054,8699000,3738610,0.2500000,30.7733994,4908.0000000,0.3625710,0.2376170,79.3805008,58814100.0000000
209,2055,8699500,3738610,0.2500000,41.7492981,4758.0000000,0.7530320,0.4935130,164.8670044,57287000.0000000
210,2056,8700000,3738610,0.2500000,50.7641983,5042.0000000,1.1658100,0.7640310,255.2400055,55653300.0000000
211,2057,8700500,3738610,0.2500000,27.4225998,4983.0000000,1.5506901,1.0162700,339.5050049,54149700.0000000
212,2058,8701000,3738610,0.2500000,47.1274986,5064.0000000,1.7682300,1.1588399,387.1319885,52404800.0000000
213,2059,8701500,3738610,0.2500000,56.7098007,5066.0000000,1.7682300,1.1588399,387.1319885,50253100.0000000
214,2060,8702000,3738610,0.2500000,42.5205994,4964.0000000,1.7682300,1.1588399,387.1319885,48589300.0000000
215,2061,8702500,3738610,0.2500000,67.1714020,5169.0000000,1.7682300,1.1588399,387.1319885,46809400.0000000
216,2063,8703500,3738610,0.2500000,15.9687004,5299.0000000,1.7682300,1.1588399,387.1319885,42341300.0000000
217,2064,8704000,3738610,0.2500000,17.9165001,5214.0000000,1.7682300,1.1588399,387.1319885,40368000.0000000
218,2065,8704500,3738610,0.2500000,29.0000000,5199.0000000,1.7236100,1.1296000,377.3640137,38011800.0000000
219,2066,8705000,3738610,0.2500000,52.2303009,5082.0000000,1.6510900,1.0820700,361.4859924,36252600.0000000
220,2067,8705500,3738610,0.2500000,128.1560059,5107.0000000,1.6399400,1.0747600,359.0450134,34781700.0000000
221,2068,8706000,3738610,0.2500000,84.9588013,5187.0000000,1.6510900,1.0820700,361.4859924,33354800.0000000
222,2069,8706500,3738610,0.2500000,65.8711014,5284.0000000,1.6287800,1.0674500,356.6019897,31866600.0000000
223,2070,8707000,3738610,0.2500000,30.1662006,5246.0000000,1.4112400,0.9248790,308.9739990,30611000.0000000
224,2071,8707500,3738610,0.2499260,39.6484985,5073.0000000,1.3498800,0.8846670,295.5400085,29477000.0000000
225,2072,8708000,3738610,0.2496230,42.2374001,4864.0000000,1.3945000,0.9139130,305.3089905,28244400.0000000
226,2073,8708500,3738610,0.2491570,27.9643002,4610.0000000,1.6399400,1.0747600,359.0450134,27132000.0000000
227,2074,8709000,3738610,0.2485940,64.4592972,4570.0000000,1.7682300,1.1588399,387.1319885,25993700.0000000
228,2075,8709500,3738610,0.2479280,59.1608009,4549.0000000,1.7682300,1.1588399,387.1319885,24945300.0000000
229,2076,8710000,3738610,0.2470490,27.6585999,4608.0000000,1.7403400,1.1405600,381.0260010,23957900.0000000
230,2077,8710500,3738610,0.2462030,55.1906013,4631.0000000,1.4391299,0.9431580,315.0799866,23486300.0000000
231,2078,8711000,3738610,0.2453710,109.5579987,4379.0000000,0.9147950,0.5995270,200.2830048,23720100.0000000
232,2079,8711500,3738610,0.2444800,50.2990990,4158.0000000,0.5108380,0.3349960,111.8489990,24081100.0000000
233,2080,8712000,3738610,0.2435210,19.8997002,4099.0000000,0.5027920,0.3308010,110.1250000,24636400.0000000
234,2081,8712500,3738610,0.2425490,107.3960037,4380.0000000,1.0335500,0.6807080,226.4010010,25353300.0000000
235,2082,8713000,3738610,0.2416330,50.0099983,4381.0000000,1.7902600,1.1790800,392.1589966,26255900.0000000
236,2083,8713500,3738610,0.2406950,41.1096001,4519.0000000,2.1870699,1.4404300,479.0809937,27248100.0000000
237,2084,8714000,3738610,0.2397180,46.2168999,4736.0000000,2.3808601,1.5680600,521.5310059,28373200.0000000
238,2085,8714500,3738610,0.2387430,25.5146999,5035.0000000,2.5008299,1.6470701,547.8099976,29619900.0000000
239,2242,8687500,3739110,0.2500000,57.4108009,4966.0000000,0.0000000,0.0000000,0.0000000,87442496.0000000
