#PolyID,X,Y,Usage,/,Topography,Habitats,Altitude,Start,Stop,,
B1_T2,218103.8445,3239851.824,422.75,/,Livestock trail_Open,Grassland,4777.2,CHANGE,,2,002
B1_T2,218080.4105,3239855.827,-,/,-,-,-,,,2,002
B1_T2,218064.7073,3239843.392,-,/,-,-,-,,,2,002
B1_T2,218027.6169,3239835.626,-,/,-,-,-,,,2,002
B1_T2,217996.764,3239837.06,-,/,-,-,-,,,2,002
B1_T2,217979.9974,3239844.245,-,/,-,-,-,,,2,002
B1_T2,217952.9581,3239866.302,-,/,-,-,-,,,2,002
B1_T2,217933.8625,3239887.102,-,/,-,-,-,,,2,002
B1_T2,217924.8901,3239908.051,-,/,-,-,-,,,2,002
B1_T2,217930.6186,3239910.857,-,/,-,-,-,,,2,002
B1_T2,217932.7939,3239942.373,-,/,-,-,-,,,2,002
B1_T2,217926.3057,3239980.314,-,/,-,-,-,,,2,002
B1_T2,217920.2711,3239997.406,-,/,-,-,-,,,2,002
B1_T2,217916.9117,3240031.96,-,/,-,-,-,,,2,002
B1_T2,217912.2301,3240038.167,-,/,-,-,-,,,2,002
B1_T2,217877.0529,3240031.906,-,/,-,-,-,,,2,002
B1_T2,217865.1674,3240026.445,-,/,-,-,-,,,2,002
B1_T2,217850.1651,3240013.048,-,/,-,-,-,CHANGE,,2,002
B1_T3,218693.6537,3240877.703,928.65,/,Valley bottom ,Grassland,4819.5,CHANGE,,3,003
B1_T3,218690.7572,3240856.183,-,/,-,-,-,,,3,003
B1_T3,218663.2101,3240825.657,-,/,-,-,-,,,3,003
B1_T3,218636.6256,3240785.921,-,/,-,-,-,,,3,003
B1_T3,218626.6752,3240765.682,-,/,-,-,-,,,3,003
B1_T3,218599.8926,3240733.111,-,/,-,-,-,,,3,003
B1_T3,218563.8004,3240713.481,-,/,-,-,-,,,3,003
B1_T3,218543.0162,3240696.309,-,/,-,-,-,,,3,003
B1_T3,218484.5388,3240657.427,-,/,-,-,-,,,3,003
B1_T3,218469.371,3240650.754,-,/,-,-,-,,,3,003
B1_T3,218428.7925,3240646.56,-,/,-,-,-,,,3,003
B1_T3,218399.5632,3240629.16,-,/,-,-,-,,,3,003
B1_T3,218353.6865,3240582.537,-,/,-,-,-,,,3,003
B1_T3,218332.3654,3240566.429,-,/,-,-,-,,,3,003
B1_T3,218300.7695,3240535.456,-,/,-,-,-,,,3,003
B1_T3,218220.6776,3240514.145,-,/,-,-,-,,,3,003
B1_T3,218200.8911,3240503.718,-,/,-,-,-,,,3,003
B1_T3,218176.375,3240481.748,-,/,-,-,-,,,3,003
B1_T3,218167.809,3240469.053,-,/,-,-,-,,,3,003
B1_T3,218093.2975,3240415.646,-,/,-,-,-,,,3,003
B1_T3,218049.0905,3240394.052,-,/,-,-,-,,,3,003
B1_T3,218022.2182,3240387.585,-,/,-,-,-,,,3,003
B1_T3,217965.4127,3240355.443,-,/,-,-,-,CHANGE,,3,003
B1_T4,217273.8761,3242469.838,2180.59,/,Valley bottom ,Grassland,4842.7,CHANGE,,4,004
B1_T4,217359.7582,3242397.241,-,/,-,-,-,,,4,004
B1_T4,217393.6301,3242359.771,-,/,-,-,-,,,4,004
B1_T4,217411.8392,3242350.764,-,/,-,-,-,,,4,004
B1_T4,217451.4804,3242319.409,-,/,-,-,-,,,4,004
B1_T4,217465.0233,3242315.204,-,/,-,-,-,,,4,004
B1_T4,217476.0081,3242306.804,-,/,-,-,-,,,4,004
B1_T4,217560.6004,3242225.114,-,/,-,-,-,,,4,004
B1_T4,217582.2169,3242208.202,-,/,-,-,-,,,4,004
B1_T4,217602.0536,3242198.736,-,/,-,-,-,,,4,004
B1_T4,217625.5866,3242181.842,-,/,-,-,-,,,4,004
B1_T4,217632.5563,3242166.047,-,/,-,-,-,,,4,004
B1_T4,217641.9601,3242154.05,-,/,-,-,-,,,4,004
B1_T4,217644.7884,3242139.902,-,/,-,-,-,,,4,004
B1_T4,217663.2172,3242097.032,-,/,-,-,-,,,4,004
B1_T4,217691.7071,3242055.494,-,/,-,-,-,,,4,004
B1_T4,217719.4449,3242022.734,-,/,-,-,-,,,4,004
B1_T4,217787.8385,3241959.655,-,/,-,-,-,,,4,004
B1_T4,217796.6492,3241940.17,-,/,-,-,-,,,4,004
B1_T4,217837.9797,3241890.047,-,/,-,-,-,,,4,004
B1_T4,217868.8675,3241878.085,-,/,-,-,-,,,4,004
B1_T4,217886.4113,3241829.054,-,/,-,-,-,,,4,004
B1_T4,217896.6222,3241781.2,-,/,-,-,-,,,4,004
B1_T4,217924.8861,3241687.409,-,/,-,-,-,,,4,004
B1_T4,217933.1168,3241627.74,-,/,-,-,-,,,4,004
B1_T4,217973.5133,3241540.854,-,/,-,-,-,,,4,004
B1_T4,218016.6111,3241432.664,-,/,-,-,-,,,4,004
B1_T4,218019.5989,3241419.33,-,/,-,-,-,,,4,004
B1_T4,218017.2512,3241376.911,-,/,-,-,-,,,4,004
B1_T4,218028.6611,3241314.225,-,/,-,-,-,,,4,004
B1_T4,218044.587,3241277.816,-,/,-,-,-,,,4,004
B1_T4,218059.6689,3241251.099,-,/,-,-,-,,,4,004
B1_T4,218070.5449,3241238.908,-,/,-,-,-,,,4,004
B1_T4,218085.6937,3241208.637,-,/,-,-,-,,,4,004
B1_T4,218093.1863,3241157.29,-,/,-,-,-,,,4,004
B1_T4,218084.5617,3241081.997,-,/,-,-,-,,,4,004
B1_T4,218065.0198,3241044.226,-,/,-,-,-,,,4,004
B1_T4,218065.2989,3241034.763,-,/,-,-,-,,,4,004
B1_T4,218038.1014,3240961.809,-,/,-,-,-,,,4,004
B1_T4,218024.9464,3240938.637,-,/,-,-,-,,,4,004
B1_T4,217997.9512,3240907.42,-,/,-,-,-,,,4,004
B1_T4,217981.6723,3240880.923,-,/,-,-,-,,,4,004
B1_T4,217951.3094,3240848.06,-,/,-,-,-,,,4,004
B1_T4,217931.891,3240812.341,-,/,-,-,-,,,4,004
B1_T4,217935.6869,3240778.641,-,/,-,-,-,,,4,004
B1_T4,217940.8729,3240762.863,-,/,-,-,-,,,4,004
B1_T4,217920.758,3240714.841,-,/,-,-,-,,,4,004
B1_T4,217919.4527,3240701.985,-,/,-,-,-,,,4,004
B1_T4,217925.3472,3240648.343,-,/,-,-,-,CHANGE,,4,004
B1_T5,217597.9901,3243999.138,1867.88,/,Valley bottom ,Grassland,5009.5,CHANGE,,5,005
B1_T5,217584.1752,3243981.488,-,/,-,-,-,,,5,005
B1_T5,217581.2847,3243964.887,-,/,-,-,-,,,5,005
B1_T5,217571.028,3243948.395,-,/,-,-,-,,,5,005
B1_T5,217536.3152,3243905.255,-,/,-,-,-,,,5,005
B1_T5,217518.1971,3243888.298,-,/,-,-,-,,,5,005
B1_T5,217493.1839,3243852.692,-,/,-,-,-,,,5,005
B1_T5,217479.1927,3243847.311,-,/,-,-,-,,,5,005
B1_T5,217471.4454,3243838.977,-,/,-,-,-,,,5,005
B1_T5,217424.5597,3243812.803,-,/,-,-,-,,,5,005
B1_T5,217399.4282,3243795.082,-,/,-,-,-,,,5,005
B1_T5,217360.4464,3243783.553,-,/,-,-,-,,,5,005
B1_T5,217337.9824,3243773.455,-,/,-,-,-,,,5,005
B1_T5,217330.226,3243773.611,-,/,-,-,-,,,5,005
B1_T5,217302.2765,3243784.181,-,/,-,-,-,,,5,005
B1_T5,217271.6347,3243781.224,-,/,-,-,-,,,5,005
B1_T5,217237.0503,3243787.877,-,/,-,-,-,,,5,005
B1_T5,217208.4971,3243781.39,-,/,-,-,-,,,5,005
B1_T5,217110.7426,3243768.889,-,/,-,-,-,,,5,005
B1_T5,217087.4808,3243759.499,-,/,-,-,-,,,5,005
B1_T5,217051.1073,3243737.836,-,/,-,-,-,,,5,005
B1_T5,217011.5714,3243693.6,-,/,-,-,-,,,5,005
B1_T5,216958.0044,3243652.242,-,/,-,-,-,,,5,005
B1_T5,216944.3112,3243636.589,-,/,-,-,-,,,5,005
B1_T5,216919.0586,3243627.147,-,/,-,-,-,,,5,005
B1_T5,216884.5897,3243599.505,-,/,-,-,-,,,5,005
B1_T5,216873.7988,3243578.637,-,/,-,-,-,,,5,005
B1_T5,216799.8481,3243479.223,-,/,-,-,-,,,5,005
B1_T5,216791.5255,3243437.027,-,/,-,-,-,,,5,005
B1_T5,216796.7701,3243408.349,-,/,-,-,-,,,5,005
B1_T5,216796.5392,3243390.575,-,/,-,-,-,,,5,005
B1_T5,216783.7349,3243290.857,-,/,-,-,-,,,5,005
B1_T5,216793.2483,3243226.392,-,/,-,-,-,,,5,005
B1_T5,216808.2856,3243184.052,-,/,-,-,-,,,5,005
B1_T5,216811.651,3243146.028,-,/,-,-,-,,,5,005
B1_T5,216817.5144,3243124.513,-,/,-,-,-,,,5,005
B1_T5,216831.2386,3243099.808,-,/,-,-,-,,,5,005
B1_T5,216832.8081,3243080.669,-,/,-,-,-,,,5,005
B1_T5,216847.7608,3243051.61,-,/,-,-,-,,,5,005
B1_T5,216862.794,3243036.255,-,/,-,-,-,,,5,005
B1_T5,216874.6572,3242997.044,-,/,-,-,-,,,5,005
B1_T5,216901.6013,3242961.409,-,/,-,-,-,,,5,005
B1_T5,216965.3762,3242849.76,-,/,-,-,-,,,5,005
B1_T5,216992.4047,3242825.021,-,/,-,-,-,,,5,005
B1_T5,217007.2062,3242804.595,-,/,-,-,-,,,5,005
B1_T5,217045.5256,3242764.782,-,/,-,-,-,,,5,005
B1_T5,217071.665,3242721.989,-,/,-,-,-,CHANGE,,5,005
B1_T6,216951.2113,3241397.953,1812.91,/,Livestock trail_Open,Grassland,5051,CHANGE,,6,006
B1_T6,216915.6848,3241484.675,-,/,-,-,-,,,6,006
B1_T6,216922.6713,3241533.794,-,/,-,-,-,,,6,006
B1_T6,216934.7386,3241574.121,-,/,-,-,-,,,6,006
B1_T6,216958.3518,3241619.414,-,/,-,-,-,,,6,006
B1_T6,216963.5667,3241646.818,-,/,-,-,-,,,6,006
B1_T6,216964.6485,3241680.137,-,/,-,-,-,,,6,006
B1_T6,216979.5773,3241762.414,-,/,-,-,-,,,6,006
B1_T6,216998.7112,3241832.498,-,/,-,-,-,,,6,006
B1_T6,217051.2371,3241945.762,-,/,-,-,-,,,6,006
B1_T6,217044.2795,3241963.984,-,/,-,-,-,,,6,006
B1_T6,217037.4955,3241971.49,-,/,-,-,-,,,6,006
B1_T6,217017.9837,3242009.747,-,/,-,-,-,,,6,006
B1_T6,216991.6582,3242030.386,-,/,-,-,-,,,6,006
B1_T6,216935.8905,3242065.993,-,/,-,-,-,,,6,006
B1_T6,216916.7438,3242086.797,-,/,-,-,-,,,6,006
B1_T6,216905.6467,3242105.42,-,/,-,-,-,,,6,006
B1_T6,216868.4903,3242136.362,-,/,-,-,-,,,6,006
B1_T6,216821.0802,3242199.482,-,/,-,-,-,,,6,006
B1_T6,216808.3202,3242238.734,-,/,-,-,-,,,6,006
B1_T6,216806.898,3242275.584,-,/,-,-,-,,,6,006
B1_T6,216799.6294,3242292.754,-,/,-,-,-,,,6,006
B1_T6,216783.2799,3242309.639,-,/,-,-,-,,,6,006
B1_T6,216764.4739,3242358.824,-,/,-,-,-,,,6,006
B1_T6,216752.7236,3242377.714,-,/,-,-,-,,,6,006
B1_T6,216751.5221,3242430.292,-,/,-,-,-,,,6,006
B1_T6,216738.663,3242477.321,-,/,-,-,-,,,6,006
B1_T6,216736.7992,3242509.848,-,/,-,-,-,,,6,006
B1_T6,216786.3628,3242535.246,-,/,-,-,-,,,6,006
B1_T6,216815.5315,3242565.662,-,/,-,-,-,,,6,006
B1_T6,216832.164,3242577.838,-,/,-,-,-,,,6,006
B1_T6,216820.9439,3242611.463,-,/,-,-,-,,,6,006
B1_T6,216806.6515,3242635.308,-,/,-,-,-,,,6,006
B1_T6,216797.2481,3242667.243,-,/,-,-,-,,,6,006
B1_T6,216790.0891,3242674.72,-,/,-,-,-,,,6,006
B1_T6,216784.3193,3242698.372,-,/,-,-,-,,,6,006
B1_T6,216757.7562,3242755.208,-,/,-,-,-,,,6,006
B1_T6,216754.3978,3242777.153,-,/,-,-,-,,,6,006
B1_T6,216753.3858,3242798.706,-,/,-,-,-,,,6,006
B1_T6,216755.7597,3242806.299,-,/,-,-,-,,,6,006
B1_T6,216752.3076,3242862.114,-,/,-,-,-,,,6,006
B1_T6,216745.9865,3242888.494,-,/,-,-,-,,,6,006
B1_T6,216742.6854,3242926.479,-,/,-,-,-,,,6,006
B1_T6,216735.8396,3242941.286,-,/,-,-,-,,,6,006
B1_T6,216727.4159,3242979.472,-,/,-,-,-,,,6,006
B1_T6,216727.9379,3242994.207,-,/,-,-,-,CHANGE,,6,006
B1_T7,216382.5824,3240272.68,1633.67,/,Livestock trail_Open,Grassland,5029,CHANGE,,7,007
B1_T7,216396.7676,3240289.221,-,/,-,-,-,,,7,007
B1_T7,216408.5008,3240296.864,-,/,-,-,-,,,7,007
B1_T7,216429.8265,3240363.741,-,/,-,-,-,,,7,007
B1_T7,216437.9688,3240378.323,-,/,-,-,-,,,7,007
B1_T7,216447.8159,3240390.966,-,/,-,-,-,,,7,007
B1_T7,216510.1118,3240446.258,-,/,-,-,-,,,7,007
B1_T7,216541.8819,3240505.277,-,/,-,-,-,,,7,007
B1_T7,216623.0793,3240628.102,-,/,-,-,-,,,7,007
B1_T7,216654.7871,3240645.687,-,/,-,-,-,,,7,007
B1_T7,216677.1795,3240652.318,-,/,-,-,-,,,7,007
B1_T7,216693.5948,3240665.16,-,/,-,-,-,,,7,007
B1_T7,216707.5614,3240686.088,-,/,-,-,-,,,7,007
B1_T7,216725.0053,3240773.007,-,/,-,-,-,,,7,007
B1_T7,216706.8951,3240790.661,-,/,-,-,-,,,7,007
B1_T7,216697.7528,3240807.943,-,/,-,-,-,,,7,007
B1_T7,216695.7709,3240823.968,-,/,-,-,-,,,7,007
B1_T7,216673.9717,3240872.586,-,/,-,-,-,,,7,007
B1_T7,216668.5093,3240912.884,-,/,-,-,-,,,7,007
B1_T7,216668.0737,3240935.342,-,/,-,-,-,,,7,007
B1_T7,216673.1093,3240973.519,-,/,-,-,-,,,7,007
B1_T7,216705.9296,3241003.406,-,/,-,-,-,,,7,007
B1_T7,216707.2125,3241017.276,-,/,-,-,-,,,7,007
B1_T7,216704.9524,3241022.121,-,/,-,-,-,,,7,007
B1_T7,216681.8566,3241023.236,-,/,-,-,-,,,7,007
B1_T7,216659.6991,3241037.141,-,/,-,-,-,,,7,007
B1_T7,216658.2441,3241059.913,-,/,-,-,-,,,7,007
B1_T7,216672.6944,3241137.933,-,/,-,-,-,,,7,007
B1_T7,216672.304,3241164.166,-,/,-,-,-,,,7,007
B1_T7,216686.6674,3241213.167,-,/,-,-,-,,,7,007
B1_T7,216697.9932,3241227.93,-,/,-,-,-,,,7,007
B1_T7,216685.1896,3241330.291,-,/,-,-,-,,,7,007
B1_T7,216638.3245,3241455.742,-,/,-,-,-,,,7,007
B1_T7,216575.2336,3241547.915,-,/,-,-,-,,,7,007
B1_T7,216592.3056,3241674.192,-,/,-,-,-,CHANGE,,7,007
B1_T8,215405.6839,3240230.387,2375.13,/,Ridgeline,Grassland,4839.7,CHANGE,,8,008
B1_T8,215546.8656,3240297.323,-,/,-,-,-,,,8,008
B1_T8,215669.6194,3240418.184,-,/,-,-,-,,,8,008
B1_T8,215799.6908,3240475.092,-,/,-,-,-,,,8,008
B1_T8,215907.5416,3240511.948,-,/,-,-,-,,,8,008
B1_T8,216013.2249,3240506.529,-,/,-,-,-,,,8,008
B1_T8,216125.5656,3240411.209,-,/,-,-,-,,,8,008
B1_T8,216275.7689,3240474.164,-,/,-,-,-,,,8,008
B1_T8,216260.6561,3240561.346,-,/,-,-,-,,,8,008
B1_T8,216258.6527,3240604.618,-,/,-,-,-,,,8,008
B1_T8,216243.812,3240649.064,-,/,-,-,-,,,8,008
B1_T8,216242.7616,3240673.975,-,/,-,-,-,,,8,008
B1_T8,216229.5224,3240697.952,-,/,-,-,-,,,8,008
B1_T8,216182.1835,3240726.48,-,/,-,-,-,,,8,008
B1_T8,216157.5267,3240736.627,-,/,-,-,-,,,8,008
B1_T8,216130.505,3240754.932,-,/,-,-,-,,,8,008
B1_T8,216124.9637,3240762.909,-,/,-,-,-,,,8,008
B1_T8,216118.8908,3240785.201,-,/,-,-,-,,,8,008
B1_T8,216103.9642,3240801.661,-,/,-,-,-,,,8,008
B1_T8,216084.7251,3240834.166,-,/,-,-,-,,,8,008
B1_T8,216079.6335,3240853.626,-,/,-,-,-,,,8,008
B1_T8,216081.6127,3240878.702,-,/,-,-,-,,,8,008
B1_T8,216092.6823,3240888.71,-,/,-,-,-,,,8,008
B1_T8,216109.6441,3240923.763,-,/,-,-,-,,,8,008
B1_T8,216101.7629,3240949.717,-,/,-,-,-,,,8,008
B1_T8,216097.8418,3240985.7,-,/,-,-,-,,,8,008
B1_T8,216087.6978,3241016.379,-,/,-,-,-,,,8,008
B1_T8,216073.9589,3241037.291,-,/,-,-,-,,,8,008
B1_T8,216072.2333,3241044.922,-,/,-,-,-,,,8,008
B1_T8,216054.7598,3241066.801,-,/,-,-,-,,,8,008
B1_T8,216035.5988,3241112.863,-,/,-,-,-,,,8,008
B1_T8,216032.8667,3241125.903,-,/,-,-,-,,,8,008
B1_T8,216026.323,3241136.5,-,/,-,-,-,,,8,008
B1_T8,216014.392,3241187.365,-,/,-,-,-,,,8,008
B1_T8,216004.3753,3241194.71,-,/,-,-,-,,,8,008
B1_T8,215976.5945,3241243.628,-,/,-,-,-,,,8,008
B1_T8,215936.1744,3241273.538,-,/,-,-,-,,,8,008
B1_T8,215886.6148,3241294.313,-,/,-,-,-,,,8,008
B1_T8,215868.8097,3241294.395,-,/,-,-,-,,,8,008
B1_T8,215859.0327,3241297.615,-,/,-,-,-,,,8,008
B1_T8,215834.6318,3241320.235,-,/,-,-,-,,,8,008
B1_T8,215811.1043,3241334.074,-,/,-,-,-,,,8,008
B1_T8,215788.1347,3241327.487,-,/,-,-,-,,,8,008
B1_T8,215770.9661,3241314.209,-,/,-,-,-,,,8,008
B1_T8,215757.9258,3241310.174,-,/,-,-,-,,,8,008
B1_T8,215742.7982,3241315.927,-,/,-,-,-,,,8,008
B1_T8,215730.9467,3241334.997,-,/,-,-,-,,,8,008
B1_T8,215682.2252,3241368.733,-,/,-,-,-,,,8,008
B1_T8,215657.293,3241379.864,-,/,-,-,-,,,8,008
B1_T8,215640.7299,3241397.007,-,/,-,-,-,,,8,008
B1_T8,215618.3414,3241438.789,-,/,-,-,-,,,8,008
B1_T8,215604.2238,3241448.078,-,/,-,-,-,,,8,008
B1_T8,215586.2803,3241453.733,-,/,-,-,-,CHANGE,,8,008
B1_T9,214696.1709,3243405.229,1189.61,/,Ridgeline,Grassland,5059.5,CHANGE,,9,009
B1_T9,214716.7451,3243414.932,-,/,-,-,-,,,9,009
B1_T9,214740.8288,3243418.308,-,/,-,-,-,,,9,009
B1_T9,214761.2477,3243438.718,-,/,-,-,-,,,9,009
B1_T9,214781.7513,3243445.29,-,/,-,-,-,,,9,009
B1_T9,214881.1947,3243449.825,-,/,-,-,-,,,9,009
B1_T9,215028.5446,3243406.182,-,/,-,-,-,,,9,009
B1_T9,215064.0838,3243386.237,-,/,-,-,-,,,9,009
B1_T9,215096.7277,3243359.075,-,/,-,-,-,,,9,009
B1_T9,215129.0625,3243321.849,-,/,-,-,-,,,9,009
B1_T9,215151.6564,3243288.541,-,/,-,-,-,,,9,009
B1_T9,215180.6694,3243268.389,-,/,-,-,-,,,9,009
B1_T9,215224.3726,3243231,-,/,-,-,-,,,9,009
B1_T9,215236.2187,3243216.736,-,/,-,-,-,,,9,009
B1_T9,215258.7686,3243201.506,-,/,-,-,-,,,9,009
B1_T9,215287.3294,3243171.741,-,/,-,-,-,,,9,009
B1_T9,215306.8267,3243160.261,-,/,-,-,-,,,9,009
B1_T9,215342.9558,3243143.315,-,/,-,-,-,,,9,009
B1_T9,215384.9297,3243132.547,-,/,-,-,-,,,9,009
B1_T9,215437.3,3243132.957,-,/,-,-,-,,,9,009
B1_T9,215511.6144,3243121.277,-,/,-,-,-,,,9,009
B1_T9,215541.7754,3243107.215,-,/,-,-,-,,,9,009
B1_T9,215586.8085,3243070.78,-,/,-,-,-,,,9,009
B1_T9,215668.5925,3243017.125,-,/,-,-,-,,,9,009
B1_T9,215703.6174,3243003.259,-,/,-,-,-,,,9,009
B1_T9,215721.2612,3242999.461,-,/,-,-,-,,,9,009
B1_T9,215729.2571,3243000.716,-,/,-,-,-,CHANGE,,9,009
B1_T10,215429.0549,3241734.162,2400.22,/,Ridgeline,Grassland,4842.7,CHANGE,,10,010
B1_T10,215441.591,3241739.242,-,/,-,-,-,,,10,010
B1_T10,215472.3832,3241762.947,-,/,-,-,-,,,10,010
B1_T10,215503.415,3241804.063,-,/,-,-,-,,,10,010
B1_T10,215515.1678,3241829.006,-,/,-,-,-,,,10,010
B1_T10,215526.295,3241838.39,-,/,-,-,-,,,10,010
B1_T10,215531.1886,3241849.872,-,/,-,-,-,,,10,010
B1_T10,215545.6541,3241853.537,-,/,-,-,-,,,10,010
B1_T10,215557.6637,3241845.063,-,/,-,-,-,,,10,010
B1_T10,215571.3597,3241844.693,-,/,-,-,-,,,10,010
B1_T10,215579.2118,3241848.634,-,/,-,-,-,,,10,010
B1_T10,215615.8795,3241886.597,-,/,-,-,-,,,10,010
B1_T10,215631.9272,3241893.876,-,/,-,-,-,,,10,010
B1_T10,215640.8097,3241919.143,-,/,-,-,-,,,10,010
B1_T10,215670.3202,3241958.475,-,/,-,-,-,,,10,010
B1_T10,215687.7926,3241969.262,-,/,-,-,-,,,10,010
B1_T10,215722.3109,3242005.744,-,/,-,-,-,,,10,010
B1_T10,215730.2451,3242024.394,-,/,-,-,-,,,10,010
B1_T10,215726.7963,3242047.877,-,/,-,-,-,,,10,010
B1_T10,215712.1192,3242066.07,-,/,-,-,-,,,10,010
B1_T10,215693.4723,3242082,-,/,-,-,-,,,10,010
B1_T10,215689.6579,3242090.53,-,/,-,-,-,,,10,010
B1_T10,215685.4216,3242124.902,-,/,-,-,-,,,10,010
B1_T10,215655.7077,3242176.557,-,/,-,-,-,,,10,010
B1_T10,215629.2864,3242213.158,-,/,-,-,-,,,10,010
B1_T10,215617.7102,3242221.017,-,/,-,-,-,,,10,010
B1_T10,215575.8573,3242223.44,-,/,-,-,-,,,10,010
B1_T10,215565.689,3242218.477,-,/,-,-,-,,,10,010
B1_T10,215511.7579,3242222.049,-,/,-,-,-,,,10,010
B1_T10,215474.6222,3242204.789,-,/,-,-,-,,,10,010
B1_T10,215451.1709,3242213.763,-,/,-,-,-,,,10,010
B1_T10,215423.7001,3242265.084,-,/,-,-,-,,,10,010
B1_T10,215414.9583,3242273.151,-,/,-,-,-,,,10,010
B1_T10,215402.535,3242281.682,-,/,-,-,-,,,10,010
B1_T10,215379.3768,3242289.654,-,/,-,-,-,,,10,010
B1_T10,215362.6878,3242291.271,-,/,-,-,-,,,10,010
B1_T10,215347.1981,3242285.103,-,/,-,-,-,,,10,010
B1_T10,215335.6267,3242275.88,-,/,-,-,-,,,10,010
B1_T10,215289.257,3242285.782,-,/,-,-,-,,,10,010
B1_T10,215272.428,3242293.856,-,/,-,-,-,,,10,010
B1_T10,215174.5746,3242292.401,-,/,-,-,-,,,10,010
B1_T10,215135.9502,3242296.446,-,/,-,-,-,,,10,010
B1_T10,215097.8217,3242318.333,-,/,-,-,-,,,10,010
B1_T10,215056.5861,3242314.8,-,/,-,-,-,,,10,010
B1_T10,215015.4996,3242316.564,-,/,-,-,-,,,10,010
B1_T10,214995.0929,3242310.371,-,/,-,-,-,,,10,010
B1_T10,214975.7955,3242313.961,-,/,-,-,-,,,10,010
B1_T10,214917.6715,3242385.728,-,/,-,-,-,,,10,010
B1_T10,214911.9091,3242403.354,-,/,-,-,-,,,10,010
B1_T10,214911.5203,3242436.301,-,/,-,-,-,,,10,010
B1_T10,214898.7632,3242459.143,-,/,-,-,-,,,10,010
B1_T10,214887.5051,3242470.231,-,/,-,-,-,,,10,010
B1_T10,214876.7235,3242487.314,-,/,-,-,-,,,10,010
B1_T10,214864.6377,3242518.388,-,/,-,-,-,,,10,010
B1_T10,214859.6734,3242542.801,-,/,-,-,-,,,10,010
B1_T10,214864.3006,3242557.62,-,/,-,-,-,,,10,010
B1_T10,214863.8118,3242596,-,/,-,-,-,,,10,010
B1_T10,214870.8218,3242632.369,-,/,-,-,-,,,10,010
B1_T10,214879.3082,3242651.536,-,/,-,-,-,,,10,010
B1_T10,214873.7918,3242656.854,-,/,-,-,-,,,10,010
